lat,lon,id,Sign
34.14369381,-118.1412894,1392, no stopping anytime
34.14387629,-118.1412894,1393, no stopping anytime
34.14419518,-118.1413205,1394, no stopping anytime
34.14486193,-118.1413241,1395, bus stop metro
34.14619454,-118.1413344,1396, bus stop metro
34.14646009,-118.1413379,1397, 2 hr parking 9am-6pm
34.14685891,-118.1413385,1398, 2 hr parking 9am-6pm
34.14748304,-118.1413466,1399, bus stop metro
34.1478349,-118.1413478,1400, 2 hr parking 9am-6pm
34.14840881,-118.1413547,1401, 2 hr parking 9am-6pm
34.14873434,-118.141356,1402, 2 hr parking 9am-6pm
34.14896315,-118.1413609,1403, 2 hr parking 9am-6pm
34.14989961,-118.1413385,1404, bus stop metro
34.15011126,-118.1413361,1405, no stopping anytime
34.15084498,-118.1413187,1406, no stopping anytime
34.15067621,-118.141594,1407, no stopping anytime
34.14987656,-118.1415867,1408, no stopping anytime
34.1488836,-118.1416069,1409, bus stop metro
34.14824804,-118.1416007,1410, 15 min parking 6am-6pm ex Sat Sun
34.14808718,-118.1415996,1411, 15 min parking 6am-6pm ex Sat Sun
34.1475791,-118.1415962,1412, parking direction
34.14694307,-118.1415918,1413, bus stop metro
34.1466232,-118.1415878,1414, 1 hr parking 7am-6pm
34.14621107,-118.1415856,1415, no stopping anytime
34.14599597,-118.1415833,1416, no stopping anytime
34.14568047,-118.1415497,1417, no stopping anytime
34.14535248,-118.1415776,1418, bus stop metro
34.14526674,-118.1415724,1419, no stopping anytime
34.14492816,-118.1415363,1420, no stopping anytime
34.14401483,-118.1415145,1421, bus stop metro
34.14396095,-118.1415145,1422, no stopping anytime
34.14347381,-118.1414911,1423, 2 hr parking 9am-6pm
34.14312887,-118.1414864,1424, 2 hr parking 9am-6pm
34.14279336,-118.1414843,1425, 2 hr parking 9am-6pm
34.14246786,-118.1414984,1426, no stopping anytime (TOW AWAY)
34.14185461,-118.1414723,1427, bus stop metro
34.14155021,-118.1414696,1428, 2 hr parking 9am-6pm
34.14131135,-118.1414656,1429, 2 hr parking 9am-6pm
34.14005151,-118.1414548,1430, 2 hr parking 9am-6pm
